z    t    r    zmid    tmid    rmid    ly    err_ly    ly_sigma    err_ly_sigma    ly_areaTop    err_ly_areaTop    ly_sigma_areaTop     err_ly_sigma_areaTop
0    0    0    -5.37222222222    0.785398163397    8.8615    3.19172447412    0.0412448721109    0.40195389365    0.0451812782035    1.07391032018    0.0325664162861    0.40195389365    0.0451812782035
0    1    0    -5.37222222222    2.35619449019    8.8615    3.30006620049    0.0431723090741    0.444592031045    0.0376748189566    1.08647227757    0.0220525918751    0.444592031045    0.0376748189566
0    2    0    -5.37222222222    3.92699081699    8.8615    3.25292334679    0.0492454885554    0.427195707804    0.0473830754863    1.08763344001    0.0626651138452    0.427195707804    0.0473830754863
0    3    0    -5.37222222222    5.49778714378    8.8615    3.33405178308    0.0518676791789    0.48073061795    0.0479652726584    1.12132321408    0.0324998618999    0.48073061795    0.0479652726584
0    0    1    -5.37222222222    0.523598775598    22.513    3.15726432943    0.0490331371328    0.472003091564    0.0452090854741    0.983027670359    0.0349083516898    0.472003091564    0.0452090854741
0    1    1    -5.37222222222    1.57079632679    22.513    3.20800937811    0.0985106220809    0.589693969499    0.11263838282    1.02322254373    0.049584669683    0.589693969499    0.11263838282
0    2    1    -5.37222222222    2.61799387799    22.513    3.25061369568    0.0446583013881    0.417049266933    0.0417291975677    1.06424725454    0.0339355247289    0.417049266933    0.0417291975677
0    3    1    -5.37222222222    3.66519142919    22.513    3.27032467704    0.0634092229345    0.457745856672    0.0661665110574    1.06643492191    0.0684784534931    0.457745856672    0.0661665110574
0    4    1    -5.37222222222    4.71238898038    22.513    3.33331719073    0.0425464788825    0.436466986389    0.0364358745168    1.04788252934    0.0322596173544    0.436466986389    0.0364358745168
0    5    1    -5.37222222222    5.75958653158    22.513    3.18622628768    0.0383940035129    0.400773331634    0.0412744176428    1.00393827025    0.0287552690203    0.400773331634    0.0412744176428
0    0    2    -5.37222222222    0.392699081699    32.093    3.15248832567    0.0422353720421    0.453173073521    0.0474349769632    0.985366578977    0.0255573716101    0.453173073521    0.0474349769632
0    1    2    -5.37222222222    1.1780972451    32.093    3.27311679184    0.0391977447675    0.376673523411    0.0380979828149    1.08994772265    0.0206331112255    0.376673523411    0.0380979828149
0    2    2    -5.37222222222    1.96349540849    32.093    3.23616610348    0.0552187975463    0.487488546053    0.065332644264    1.08720356341    0.0367903142625    0.487488546053    0.065332644264
0    3    2    -5.37222222222    2.74889357189    32.093    3.34802514891    0.0760506735938    0.491538660095    0.0891614076996    1.19474499687    0.0333529478718    0.491538660095    0.0891614076996
0    4    2    -5.37222222222    3.53429173529    32.093    3.22559232366    0.0617990971098    0.523318848414    0.0598047687939    1.08054900526    0.0298730820479    0.523318848414    0.0598047687939
0    5    2    -5.37222222222    4.31968989869    32.093    3.23482931752    0.0538569504792    0.469456648641    0.0556947248911    1.01856727179    0.0303646965477    0.469456648641    0.0556947248911
0    6    2    -5.37222222222    5.10508806208    32.093    3.29693391684    0.056973329215    0.528186398406    0.0641339045087    1.08025390931    0.0399697840849    0.528186398406    0.0641339045087
0    7    2    -5.37222222222    5.89048622548    32.093    3.18259092683    0.0354118662145    0.409678388401    0.0341232467221    1.04978752808    0.0194281700839    0.409678388401    0.0341232467221
0    0    3    -5.37222222222    0.261799387799    42.3915    3.21152572539    0.0315796492944    0.418861891069    0.024548984571    1.00822294544    0.0171031048068    0.418861891069    0.024548984571
0    1    3    -5.37222222222    0.785398163397    42.3915    3.20680270232    0.0349793971353    0.412633118247    0.0301493842815    1.03188121578    0.0164236950884    0.412633118247    0.0301493842815
0    2    3    -5.37222222222    1.308996939    42.3915    3.28370345781    0.0518564519647    0.531716189858    0.0565895682927    1.09189621691    0.0218276783765    0.531716189858    0.0565895682927
0    3    3    -5.37222222222    1.83259571459    42.3915    3.18374470547    0.0572731602499    0.432081587344    0.0509125961424    0.991042250157    0.0665224158422    0.432081587344    0.0509125961424
0    4    3    -5.37222222222    2.35619449019    42.3915    3.27116957141    0.0514202115959    0.431718746227    0.0557097395777    1.08375712012    0.0310221513236    0.431718746227    0.0557097395777
0    5    3    -5.37222222222    2.87979326579    42.3915    3.3357965695    0.0650561497332    0.543679491497    0.0672535524885    1.03629179258    0.033397696766    0.543679491497    0.0672535524885
0    6    3    -5.37222222222    3.40339204139    42.3915    3.15321353693    0.0328435917229    0.374856780833    0.0298881451653    1.00088122152    0.0216515088628    0.374856780833    0.0298881451653
0    7    3    -5.37222222222    3.92699081699    42.3915    3.20142815581    0.0371072153332    0.465023139942    0.0293110047922    1.05041633893    0.0154872767927    0.465023139942    0.0293110047922
0    8    3    -5.37222222222    4.45058959259    42.3915    3.22821867305    0.0457355970822    0.490818376155    0.0405777468909    1.06741986081    0.0191224198693    0.490818376155    0.0405777468909
0    9    3    -5.37222222222    4.97418836818    42.3915    3.16586434124    0.0395577815129    0.452582574066    0.0350573562244    1.05543930121    0.0205396445541    0.452582574066    0.0350573562244
0    10    3    -5.37222222222    5.49778714378    42.3915    3.22558705871    0.0415823976297    0.483761863355    0.0407417641887    1.02334112438    0.0183001188943    0.483761863355    0.0407417641887
0    11    3    -5.37222222222    6.02138591938    42.3915    3.10839796777    0.0323493661532    0.392954506657    0.0295947265644    1.01297927622    0.0188015225879    0.392954506657    0.0295947265644
1    0    0    -16.1166666667    0.785398163397    8.8615    3.68128817939    0.0670937598317    0.427220273012    0.0892620495117    0.772756380153    0.665688310475    0.427220273012    0.0892620495117
